Title,Sentiment
A Light in the ...,Positive
Tipping the Velvet,Neutral
Soumission,Neutral
Sharp Objects,Negative
Sapiens: A Brief History ...,Neutral
The Requiem Red,Neutral
The Dirty Little Secrets ...,Negative
The Coming Woman: A ...,Neutral
The Boys in the ...,Neutral
The Black Maria,Negative
Starving Hearts (Triangular Trade ...,Neutral
Shakespeare's Sonnets,Neutral
Set Me Free,Positive
Scott Pilgrim's Precious Little ...,Positive
Rip it Up and ...,Neutral
Our Band Could Be ...,Neutral
Olio,Neutral
Mesaerion: The Best Science ...,Positive
Libertarianism for Beginners,Neutral
It's Only the Himalayas,Neutral
In Her Wake,Neutral
How Music Works,Neutral
Foolproof Preserving: A Guide ...,Neutral
Chase Me (Paris Nights ...,Neutral
Black Dust,Negative
Birdsong: A Story in ...,Neutral
America's Cradle of Quarterbacks: ...,Neutral
Aladdin and His Wonderful ...,Positive
Worlds Elsewhere: Journeys Around ...,Neutral
Wall and Piece,Neutral
The Four Agreements: A ...,Neutral
The Five Love Languages: ...,Positive
The Elephant Tree,Neutral
The Bear and the ...,Neutral
Sophie's World,Neutral
Penny Maybe,Neutral
Maude (1883-1993):She Grew Up ...,Neutral
"In a Dark, Dark ...",Negative
Behind Closed Doors,Negative
You can't bury them ...,Neutral
Slow States of Collapse: ...,Negative
Reasons to Stay Alive,Neutral
Private Paris (Private #10),Neutral
#HigherSelfie: Wake Up Your ...,Neutral
Without Borders (Wanderlove #1),Neutral
When We Collided,Neutral
"We Love You, Charlie ...",Positive
Untitled Collection: Sabbath Poems ...,Neutral
Unseen City: The Majesty ...,Neutral
Unicorn Tracks,Neutral
Unbound: How Eight Technologies ...,Neutral
Tsubasa: WoRLD CHRoNiCLE 2 ...,Neutral
Throwing Rocks at the ...,Neutral
This One Summer,Neutral
Thirst,Neutral
The Torch Is Passed: ...,Neutral
The Secret of Dreadwillow ...,Negative
The Pioneer Woman Cooks: ...,Neutral
The Past Never Ends,Negative
The Natural History of ...,Neutral
The Nameless City (The ...,Negative
The Murder That Never ...,Neutral
The Most Perfect Thing: ...,Positive
The Mindfulness and Acceptance ...,Neutral
The Life-Changing Magic of ...,Positive
The Inefficiency Assassin: Time ...,Neutral
The Gutsy Girl: Escapades ...,Neutral
The Electric Pencil: Drawings ...,Neutral
The Death of Humanity: ...,Neutral
The Bulletproof Diet: Lose ...,Neutral
The Art Forger,Neutral
The Age of Genius: ...,Neutral
The Activist's Tao Te ...,Neutral
Spark Joy: An Illustrated ...,Positive
Soul Reader,Neutral
Security,Neutral
"Saga, Volume 6 (Saga ...",Neutral
"Saga, Volume 5 (Saga ...",Neutral
Reskilling America: Learning to ...,Neutral
"Rat Queens, Vol. 3: ...",Neutral
"Princess Jellyfish 2-in-1 Omnibus, ...",Neutral
Princess Between Worlds (Wide-Awake ...,Neutral
"Pop Gun War, Volume ...",Neutral
"Political Suicide: Missteps, Peccadilloes, ...",Neutral
Patience,Neutral
"Outcast, Vol. 1: A ...",Neutral
orange: The Complete Collection ...,Neutral
Online Marketing for Busy ...,Neutral
On a Midnight Clear,Neutral
Obsidian (Lux #1),Neutral
My Paris Kitchen: Recipes ...,Neutral
Masks and Shadows,Neutral
Mama Tried: Traditional Italian ...,Neutral
"Lumberjanes, Vol. 2: Friendship ...",Neutral
"Lumberjanes, Vol. 1: Beware ...",Neutral
Lumberjanes Vol. 3: A ...,Neutral
"Layered: Baking, Building, and ...",Neutral
Judo: Seven Steps to ...,Neutral
Join,Neutral
In the Country We ...,Neutral
Immunity: How Elie Metchnikoff ...,Neutral
"I Hate Fairyland, Vol. ...",Negative
I am a Hero ...,Neutral
How to Be Miserable: ...,Negative
Her Backup Boyfriend (The ...,Neutral
"Giant Days, Vol. 2 ...",Neutral
Forever and Forever: The ...,Neutral
First and First (Five ...,Positive
Fifty Shades Darker (Fifty ...,Neutral
Everydata: The Misinformation Hidden ...,Negative
Don't Be a Jerk: ...,Neutral
Danganronpa Volume 1,Neutral
Crown of Midnight (Throne ...,Neutral
"Codename Baboushka, Volume 1: ...",Neutral
Camp Midnight,Neutral
Call the Nurse: True ...,Positive
Burning,Neutral
Bossypants,Neutral
"Bitch Planet, Vol. 1: ...",Neutral
Avatar: The Last Airbender: ...,Neutral
Algorithms to Live By: ...,Positive
A World of Flavor: ...,Neutral
"A Piece of Sky, ...",Neutral
A Murder in Time,Neutral
A Flight of Arrows ...,Neutral
A Fierce and Subtle ...,Negative
A Court of Thorns ...,Neutral
(Un)Qualified: How God Uses ...,Neutral
You Are What You ...,Neutral
William Shakespeare's Star Wars: ...,Neutral
Tuesday Nights in 1980,Neutral
Tracing Numbers on a ...,Neutral
Throne of Glass (Throne ...,Neutral
Thomas Jefferson and the ...,Neutral
Thirteen Reasons Why,Neutral
The White Cat and ...,Neutral
The Wedding Dress,Neutral
The Vacationers,Neutral
The Third Wave: An ...,Neutral
The Stranger,Neutral
The Shadow Hero (The ...,Neutral
The Secret (The Secret ...,Negative
The Regional Office Is ...,Neutral
The Psychopath Test: A ...,Neutral
The Project,Neutral
The Power of Now: ...,Neutral
The Omnivore's Dilemma: A ...,Neutral
The Nerdy Nummies Cookbook: ...,Neutral
The Murder of Roger ...,Neutral
The Mistake (Off-Campus #2),Neutral
The Matchmaker's Playbook (Wingmen ...,Neutral
The Love and Lemons ...,Positive
The Long Shadow of ...,Neutral
The Kite Runner,Neutral
The House by the ...,Neutral
The Glittering Court (The ...,Neutral
The Girl on the ...,Neutral
The Genius of Birds,Neutral
The Emerald Mystery,Neutral
The Cookies & Cups ...,Neutral
The Bridge to Consciousness: ...,Neutral
The Artist's Way: A ...,Neutral
The Art of War,Neutral
The Argonauts,Neutral
The 10% Entrepreneur: Live ...,Positive
Suddenly in Love (Lake ...,Positive
Something More Than This,Positive
Soft Apocalypse,Neutral
So You've Been Publicly ...,Neutral
Shoe Dog: A Memoir ...,Neutral
"Shobu Samurai, Project Aryoku ...",Neutral
